fs	Tr(Gyr)	m(1e5M0)
0.010000	0.031120	1.055622
0.011837	0.028519	1.064180
0.013673	0.026066	1.073798
0.015510	0.023776	1.078581
0.017347	0.021656	1.066387
0.019184	0.019693	1.056773
0.021020	0.017229	1.035704
0.022857	0.015956	1.039246
0.024694	0.014743	1.043207
0.026531	0.013593	1.047539
0.028367	0.012509	1.052033
0.030204	0.011492	1.056255
0.032041	0.010549	1.058856
0.033878	0.009676	1.052960
0.035714	0.008870	1.046713
0.037551	0.008126	1.041508
0.039388	0.007434	1.037126
0.041224	0.006768	1.033010
0.043061	0.005605	1.018273
0.044898	0.005215	1.019354
0.046735	0.004842	1.020497
0.048571	0.004488	1.021677
0.050408	0.004150	1.022898
0.052245	0.003831	1.024145
0.054082	0.003530	1.025401
0.055918	0.003249	1.026670
0.057755	0.002985	1.027909
0.059592	0.002739	1.029103
0.061429	0.002511	1.030235
0.063265	0.002301	1.031291
0.065102	0.002107	1.032235
0.066939	0.001930	1.033021
0.068776	0.001769	1.033579
0.070612	0.001620	1.033556
0.072449	0.001486	1.030862
0.074286	0.001363	1.028293
0.076122	0.001252	1.025940
0.077959	0.001149	1.023801
0.079796	0.001056	1.021835
0.081633	0.000971	1.020060
0.083469	0.000892	1.018413
0.085306	0.000820	1.016914
0.087143	0.000753	1.015521
0.088980	0.000691	1.014234
0.090816	0.000632	1.013011
0.092653	0.000576	1.011872
0.094490	0.000523	1.010776
0.096327	0.000472	1.009701
0.098163	0.000416	1.008566
0.100000	0.000345	1.007082
