fs	Tr(Gyr)	m(1e5M0)
0.010000	0.123342	1.000000
0.011837	0.112018	1.000000
0.013673	0.101098	1.000000
0.015510	0.092633	1.000000
0.017347	0.084769	1.000000
0.019184	0.077557	1.000000
0.021020	0.070484	1.000000
0.022857	0.065094	1.000000
0.024694	0.060036	1.000000
0.026531	0.055331	1.000000
0.028367	0.051000	1.000000
0.030204	0.046996	1.000000
0.032041	0.042946	1.000000
0.033878	0.039953	1.000000
0.035714	0.037119	1.000000
0.037551	0.034452	1.000000
0.039388	0.031957	1.000000
0.041224	0.029639	1.000000
0.043061	0.027495	1.000000
0.044898	0.025511	1.000000
0.046735	0.023658	1.000000
0.048571	0.021382	1.000000
0.050408	0.020014	1.000000
0.052245	0.018711	1.000000
0.054082	0.017472	1.000000
0.055918	0.016296	1.000000
0.057755	0.015185	1.000000
0.059592	0.014141	1.000000
0.061429	0.013161	1.000000
0.063265	0.012245	1.000000
0.065102	0.011392	1.000000
0.066939	0.010597	1.000000
0.068776	0.009860	1.000000
0.070612	0.009172	1.000000
0.072449	0.008528	1.000000
0.074286	0.007926	1.000000
0.076122	0.007358	1.000000
0.077959	0.006817	1.000000
0.079796	0.006284	1.000000
0.081633	0.005353	1.000000
0.083469	0.004999	1.000000
0.085306	0.004661	1.000000
0.087143	0.004343	1.000000
0.088980	0.004039	1.000000
0.090816	0.003756	1.000000
0.092653	0.003488	1.000000
0.094490	0.003236	1.000000
0.096327	0.003002	1.000000
0.098163	0.002785	1.000000
0.100000	0.002583	1.000000
