index, a_1, a_2, a_3
0, 1.000000e+00, 4.792085e-01, 4.558010e-01
1, 1.000000e+00, 4.843372e-01, 3.126497e-02
2, 1.000000e+00, 6.408029e-01, 5.470468e-01
3, 1.000000e+00, 6.886318e-01, 1.224224e-02
4, 1.000000e+00, 1.072895e-01, 5.324541e-02
5, 1.000000e+00, 6.386846e-01, 4.788224e-01
6, 1.000000e+00, 2.722735e-01, 2.000160e-01
7, 1.000000e+00, 5.842413e-01, 4.075871e-01
8, 1.000000e+00, 3.211973e-01, 2.366603e-01
9, 1.000000e+00, 4.233837e-01, 7.444881e-02
10, 1.000000e+00, 9.574841e-01, 7.024711e-01
11, 1.000000e+00, 1.953475e-01, 1.879262e-01
12, 1.000000e+00, 7.531420e-01, 7.085726e-01
13, 1.000000e+00, 7.481978e-01, 6.794666e-01
14, 1.000000e+00, 2.772852e-01, 1.533497e-01
15, 1.000000e+00, 3.492917e-01, 3.252181e-01
16, 1.000000e+00, 3.708252e-01, 2.846256e-01
17, 1.000000e+00, 8.729294e-01, 1.265963e-01
18, 1.000000e+00, 1.203767e-01, 3.243031e-03
19, 1.000000e+00, 5.730985e-01, 3.274596e-01
20, 1.000000e+00, 6.286136e-01, 2.836297e-01
21, 1.000000e+00, 9.962613e-01, 4.631028e-01
22, 1.000000e+00, 3.734770e-02, 2.426759e-02
23, 1.000000e+00, 4.780454e-01, 4.587836e-01
24, 1.000000e+00, 6.556927e-02, 6.108775e-02
25, 1.000000e+00, 3.867859e-01, 5.219745e-02
26, 1.000000e+00, 9.303622e-01, 2.587523e-01
27, 1.000000e+00, 4.762585e-01, 2.917669e-01
28, 1.000000e+00, 6.759948e-01, 2.172193e-01
29, 1.000000e+00, 5.026994e-01, 1.686532e-01
30, 1.000000e+00, 9.186143e-01, 4.461137e-01
31, 1.000000e+00, 5.833201e-01, 2.277425e-01
32, 1.000000e+00, 7.169934e-01, 4.435511e-01
33, 1.000000e+00, 8.574202e-01, 2.013180e-01
34, 1.000000e+00, 2.553026e-01, 8.922098e-02
35, 1.000000e+00, 4.227346e-01, 1.812270e-01
36, 1.000000e+00, 2.803478e-01, 2.600362e-01
37, 1.000000e+00, 1.434038e-01, 1.122052e-01
38, 1.000000e+00, 3.331094e-02, 3.087526e-02
39, 1.000000e+00, 7.204104e-02, 4.235363e-02
40, 1.000000e+00, 2.414261e-01, 5.990153e-02
41, 1.000000e+00, 2.001934e-01, 1.414771e-01
