index, rv_x, r_vy, r_vz
0, 3.501380e-01, 2.205478e-01, 2.157167e-01
1, 4.124851e-01, 1.639303e-01, 5.477287e-01
2, 1.686235e-01, 5.829425e-02, 7.882374e-01
3, 2.461198e-01, 3.461860e-02, 6.745431e-01
4, 3.121152e-02, 2.993757e-03, 5.724005e-01
5, 4.656813e-01, 1.893341e-01, 3.085071e-01
6, 1.677891e-01, 2.548067e-01, 7.877844e-01
7, 3.124620e-02, 3.269174e-01, 6.171975e-01
8, 4.352146e-01, 2.202165e-01, 6.287024e-01
9, 1.883875e-01, 1.306574e-01, 4.512063e-01
10, 8.675166e-02, 4.207701e-01, 1.730561e-01
11, 2.442323e-01, 4.623609e-01, 3.411215e-01
12, 3.375161e-01, 3.399332e-01, 5.004822e-01
13, 2.885779e-02, 1.157649e-01, 5.214359e-01
14, 2.010939e-01, 3.018989e-01, 4.959342e-01
15, 2.764924e-01, 2.674664e-02, 4.920997e-01
16, 1.880933e-01, 6.379750e-01, 4.509571e-02
17, 1.479494e-01, 4.379686e-03, 7.080255e-01
18, 7.218542e-02, 5.544355e-01, 1.205808e-02
19, 4.170048e-01, 4.114852e-01, 5.541549e-01
20, 8.082004e-02, 2.288527e-01, 5.910900e-01
21, 7.308349e-02, 5.055681e-01, 5.514373e-02
22, 1.132468e-01, 1.942840e-01, 6.291195e-01
23, 1.654322e-01, 4.302160e-01, 3.360544e-01
24, 3.526960e-01, 5.620677e-02, 5.103963e-01
25, 7.210509e-01, 3.025588e-01, 2.608425e-01
26, 2.487838e-01, 5.170899e-01, 1.190691e-01
27, 5.573284e-02, 5.689445e-01, 3.309769e-01
28, 6.490179e-01, 2.241091e-01, 4.001878e-01
29, 1.943398e-01, 5.612325e-01, 2.554038e-02
30, 2.767486e-01, 1.301324e-01, 7.794303e-01
31, 9.798688e-02, 2.468975e-01, 6.342697e-01
32, 2.718241e-01, 4.869704e-01, 4.707969e-01
33, 1.426050e-01, 7.826193e-01, 6.878628e-02
34, 2.604630e-02, 7.238104e-03, 6.952182e-01
35, 6.336705e-02, 4.952558e-01, 2.310454e-02
36, 6.873435e-02, 2.218009e-01, 4.122627e-01
37, 2.755534e-01, 4.929817e-01, 4.259573e-01
38, 2.366745e-01, 8.453453e-02, 6.125009e-01
39, 4.733577e-01, 1.698302e-01, 7.269923e-02
40, 6.918580e-02, 2.712583e-01, 6.141161e-01
41, 3.237474e-02, 2.452161e-01, 4.220767e-01
42, 4.310397e-01, 5.193343e-01, 3.809387e-02
43, 1.225342e-01, 1.704890e-02, 7.496305e-01
44, 1.807193e-01, 6.467623e-01, 1.092158e-01
45, 2.096874e-01, 4.678472e-01, 5.117370e-01
46, 2.646928e-01, 2.459248e-01, 3.948726e-01
47, 3.639879e-01, 6.099767e-01, 1.634828e-02
48, 4.765163e-02, 5.320058e-01, 2.723803e-01
49, 1.273580e-01, 3.384805e-01, 4.668522e-01
50, 5.305384e-02, 4.398209e-01, 7.269915e-01
51, 4.830243e-01, 1.121347e-01, 4.637193e-01
52, 3.225542e-01, 1.266312e-01, 5.485099e-01
53, 5.552468e-01, 5.672501e-01, 3.372009e-01
54, 4.528865e-02, 2.909409e-01, 5.070723e-01
55, 2.068079e-01, 5.910649e-01, 1.391983e-01
56, 5.549383e-01, 1.070620e-01, 1.378239e-01
57, 3.519495e-01, 4.141763e-01, 6.456833e-02
58, 2.300662e-01, 2.766539e-01, 7.358139e-01
59, 5.465074e-01, 2.504540e-01, 3.507882e-01
60, 1.941504e-01, 2.006819e-01, 4.741018e-01
61, 1.810870e-01, 3.499845e-02, 6.131316e-01
62, 2.013434e-01, 1.426832e-01, 6.734595e-01
63, 4.443324e-01, 2.467805e-01, 6.314334e-02
64, 3.110285e-02, 2.710870e-01, 4.932963e-01
65, 2.756718e-01, 2.142824e-01, 3.677152e-01
66, 3.051729e-01, 4.362333e-01, 2.844753e-01
67, 1.319314e-01, 6.560092e-02, 5.278488e-01
68, 6.502693e-01, 1.791454e-01, 8.665441e-02
69, 1.943734e-01, 3.410031e-01, 7.173079e-01
