RETURN_TIME RETURN_MASS
2.361900999999999862e-01 1.094176000000000037e+00
1.123788999999999927e+00 1.110440000000000094e+00
8.005429999999999491e-02 1.061595999999999984e+00
8.860859000000000096e-02 1.064613000000000032e+00
1.980589000000000099e-01 1.097050000000000081e+00
5.557002999999999943e-02 1.070737000000000050e+00
5.880798000000000414e-01 1.105523000000000033e+00
2.611870000000000164e-02 1.081058000000000074e+00
2.835392999999999941e-01 1.079225000000000101e+00
1.422407000000000012e-02 1.060124000000000066e+00
2.430753999999999859e+00 1.133162000000000003e+00
3.208507999999999916e-01 1.098303000000000029e+00
1.515443000000000096e+00 1.077474000000000043e+00
7.587808000000000330e-01 1.090883000000000047e+00
6.254500999999999811e-02 1.074810999999999961e+00
1.262604000000000060e+00 1.105374999999999996e+00
2.821182999999999996e+00 1.115094000000000030e+00
1.826476000000000141e-02 1.062556000000000056e+00
1.334691000000000002e-02 1.060530999999999890e+00
2.177018999999999829e-02 1.053120999999999974e+00
1.214839000000000058e-01 1.084451999999999972e+00
2.003299000000000052e-01 1.106986000000000026e+00
3.531941000000000247e-02 1.059679999999999955e+00
5.015548999999999702e-02 1.084816000000000003e+00
1.915140999999999927e-01 1.076696000000000097e+00
9.888922999999999464e-02 1.085869999999999891e+00
2.480730000000000088e-02 1.067898000000000014e+00
8.002030999999999727e-02 1.070603999999999889e+00
4.318175000000000208e-01 1.074623000000000106e+00
1.984146000000000173e-02 1.061428000000000038e+00
7.460774999999999491e-01 1.096916000000000002e+00
1.698868999999999962e+00 1.099056000000000033e+00
7.000568000000000346e-01 1.100152000000000019e+00
3.247057999999999889e-01 1.108108000000000093e+00
4.833719999999999684e-02 1.089666000000000023e+00
2.341727000000000045e-02 1.067345999999999906e+00
5.448479000000000516e-01 1.103064000000000044e+00
4.336919999999999664e-02 1.060519999999999907e+00
4.705987999999999838e-02 1.082230000000000025e+00
4.297407000000000310e-02 1.059925000000000006e+00
1.010463000000000056e-01 1.083428000000000058e+00
4.028936999999999796e-02 1.082985000000000086e+00
1.906827999999999995e-02 1.050680999999999976e+00
7.661540999999999491e-01 1.111979999999999968e+00
2.074507999999999908e-02 1.039408000000000110e+00
1.666582000000000063e-01 1.097023999999999999e+00
2.427341999999999889e+00 1.103950999999999905e+00
1.005077999999999944e-01 1.088410000000000100e+00
4.574908999999999920e-02 1.074187999999999921e+00
3.113062999999999803e-01 1.100341000000000014e+00
1.151953000000000005e+00 1.104667999999999983e+00
1.392190999999999915e-02 1.070710000000000051e+00
4.850330999999999948e-01 1.117660000000000098e+00
1.635724000000000067e-01 1.050762999999999892e+00
2.559658999999999893e-02 1.081696999999999909e+00
1.510468000000000088e-01 1.086090000000000000e+00
1.840403999999999929e-01 1.091066000000000091e+00
3.492295000000000260e-01 1.061236999999999986e+00
2.532784000000000146e-01 1.090308000000000055e+00
1.507909000000000055e-01 1.090063000000000004e+00
7.196489999999999831e-02 1.072769000000000084e+00
2.007115999999999900e+00 1.108567999999999998e+00
3.864862000000000020e-01 1.087476000000000109e+00
9.214301999999999770e-01 1.080716999999999928e+00
9.530223000000000166e-02 1.056756000000000029e+00
1.354091000000000045e-01 1.094819999999999904e+00
2.102398999999999935e-02 1.056119000000000030e+00
2.494862000000000121e-02 1.076259000000000077e+00
3.277888999999999803e-02 1.077328000000000063e+00
1.310645000000000004e-01 1.055606999999999962e+00
3.190751000000000004e-01 1.104405000000000081e+00
5.045886000000000537e-01 1.105609999999999982e+00
5.652751999999999777e-01 1.103639000000000037e+00
2.475515000000000132e+00 1.080111000000000043e+00
1.446060999999999874e-01 1.076387999999999900e+00
1.225179000000000025e-02 1.065960000000000019e+00
5.766262999999999944e-02 1.081765000000000088e+00
2.171895999999999827e+00 1.091903000000000068e+00
1.282812000000000015e-02 1.059806999999999944e+00
1.330000999999999926e-02 1.067768999999999968e+00
1.502680999999999982e-02 1.061420000000000030e+00
1.586769000000000027e-02 1.062834000000000056e+00
7.620455000000000423e-01 1.057868999999999948e+00
1.755833999999999867e-02 1.047868999999999939e+00
1.642954000000000081e-01 1.085169000000000050e+00
3.226148999999999822e-01 1.078681999999999919e+00
8.347641000000000089e-02 1.061320000000000041e+00
2.836414999999999909e-01 1.101158999999999999e+00
3.579468000000000094e-01 1.075294999999999890e+00
1.256401000000000046e-02 1.065412999999999943e+00
6.703589999999999549e-02 1.059417000000000053e+00
2.137476000000000098e-01 1.095822000000000074e+00
2.898947000000000163e+00 1.111197999999999908e+00
1.335291000000000117e-01 1.067512999999999934e+00
2.376645000000000008e-01 1.084548000000000068e+00
1.257606999999999919e+00 1.113893000000000022e+00
7.177733999999999503e-02 1.096934000000000076e+00
7.408117000000000174e-02 1.051576000000000066e+00
2.958223999999999854e-01 1.095663999999999971e+00
1.116536000000000056e-01 1.072567999999999966e+00
2.307665000000000133e-01 1.087383999999999906e+00
