time	z	x	y	z	vx	vy	vz	mass
1.000000e-05	1.974988e+01	3.429532e-04	3.429532e-04	4.850091e-04	3.281488e+01	3.281488e+01	4.640724e+01	1.000205e+00
2.000000e-05	1.974923e+01	6.602300e-04	6.602300e-04	9.337063e-04	3.078819e+01	3.078819e+01	4.354107e+01	1.000409e+00
3.000000e-05	1.974858e+01	9.608045e-04	9.608045e-04	1.358783e-03	2.939943e+01	2.939943e+01	4.157707e+01	1.000614e+00
4.000000e-05	1.974793e+01	1.249344e-03	1.249344e-03	1.766839e-03	2.835114e+01	2.835114e+01	4.009457e+01	1.000819e+00
5.000000e-05	1.974728e+01	1.528528e-03	1.528528e-03	2.161664e-03	2.751367e+01	2.751367e+01	3.891020e+01	1.001023e+00
6.000000e-05	1.974663e+01	1.800093e-03	1.800093e-03	2.545716e-03	2.681912e+01	2.681912e+01	3.792796e+01	1.001228e+00
7.000000e-05	1.974598e+01	2.065253e-03	2.065253e-03	2.920709e-03	2.622748e+01	2.622748e+01	3.709126e+01	1.001433e+00
8.000000e-05	1.974533e+01	2.324901e-03	2.324901e-03	3.287907e-03	2.571326e+01	2.571326e+01	3.636404e+01	1.001638e+00
9.000000e-05	1.974467e+01	2.579719e-03	2.579719e-03	3.648273e-03	2.525905e+01	2.525905e+01	3.572170e+01	1.001843e+00
1.000000e-04	1.974402e+01	2.830242e-03	2.830242e-03	4.002567e-03	2.485268e+01	2.485268e+01	3.514700e+01	1.002046e+00
1.100000e-04	1.974337e+01	3.076905e-03	3.076905e-03	4.351400e-03	2.448582e+01	2.448582e+01	3.462817e+01	1.002224e+00
1.200000e-04	1.974272e+01	3.320068e-03	3.320068e-03	4.695285e-03	2.415181e+01	2.415181e+01	3.415581e+01	1.002373e+00
1.300000e-04	1.974207e+01	3.560033e-03	3.560033e-03	5.034647e-03	2.384530e+01	2.384530e+01	3.372235e+01	1.002498e+00
1.400000e-04	1.974142e+01	3.797052e-03	3.797052e-03	5.369843e-03	2.356212e+01	2.356212e+01	3.332188e+01	1.002606e+00
1.500000e-04	1.974077e+01	4.031342e-03	4.031342e-03	5.701179e-03	2.329894e+01	2.329894e+01	3.294968e+01	1.002700e+00
1.600000e-04	1.974012e+01	4.263089e-03	4.263089e-03	6.028918e-03	2.305307e+01	2.305307e+01	3.260197e+01	1.002782e+00
1.700000e-04	1.973947e+01	4.492454e-03	4.492454e-03	6.353290e-03	2.282232e+01	2.282232e+01	3.227563e+01	1.002854e+00
1.800000e-04	1.973882e+01	4.719580e-03	4.719580e-03	6.674494e-03	2.260486e+01	2.260486e+01	3.196810e+01	1.002919e+00
1.900000e-04	1.973817e+01	4.944591e-03	4.944591e-03	6.992708e-03	2.239917e+01	2.239917e+01	3.167722e+01	1.002977e+00
2.000000e-04	1.973752e+01	5.167599e-03	5.167599e-03	7.308088e-03	2.220398e+01	2.220398e+01	3.140117e+01	1.003029e+00
2.100000e-04	1.973687e+01	5.388702e-03	5.388702e-03	7.620776e-03	2.201819e+01	2.201819e+01	3.113843e+01	1.003076e+00
2.200000e-04	1.973622e+01	5.607991e-03	5.607991e-03	7.930897e-03	2.184087e+01	2.184087e+01	3.088766e+01	1.003120e+00
2.300000e-04	1.973557e+01	5.825545e-03	5.825545e-03	8.238565e-03	2.167121e+01	2.167121e+01	3.064772e+01	1.003160e+00
2.400000e-04	1.973492e+01	6.041438e-03	6.041438e-03	8.543884e-03	2.150851e+01	2.150851e+01	3.041762e+01	1.003196e+00
2.500000e-04	1.973427e+01	6.255736e-03	6.255736e-03	8.846947e-03	2.135215e+01	2.135215e+01	3.019650e+01	1.003230e+00
2.600000e-04	1.973362e+01	6.468501e-03	6.468501e-03	9.147841e-03	2.120161e+01	2.120161e+01	2.998360e+01	1.003261e+00
2.700000e-04	1.973297e+01	6.679787e-03	6.679787e-03	9.446645e-03	2.105640e+01	2.105640e+01	2.977825e+01	1.003291e+00
2.800000e-04	1.973232e+01	6.889645e-03	6.889645e-03	9.743430e-03	2.091611e+01	2.091611e+01	2.957985e+01	1.003318e+00
2.900000e-04	1.973167e+01	7.098124e-03	7.098124e-03	1.003826e-02	2.078037e+01	2.078037e+01	2.938788e+01	1.003344e+00
3.000000e-04	1.973102e+01	7.305267e-03	7.305267e-03	1.033121e-02	2.064883e+01	2.064883e+01	2.920186e+01	1.003368e+00
3.100000e-04	1.973037e+01	7.511114e-03	7.511114e-03	1.062232e-02	2.052121e+01	2.052121e+01	2.902137e+01	1.003390e+00
3.200000e-04	1.972972e+01	7.715703e-03	7.715703e-03	1.091165e-02	2.039722e+01	2.039722e+01	2.884603e+01	1.003412e+00
3.300000e-04	1.972907e+01	7.919070e-03	7.919070e-03	1.119926e-02	2.027664e+01	2.027664e+01	2.867550e+01	1.003432e+00
