time	z	x	y	z	vx	vy	vz	mass
1.000000e-05	1.974988e+01	3.486371e-04	3.486371e-04	4.930474e-04	3.423840e+01	3.423840e+01	4.842041e+01	1.000205e+00
2.000000e-05	1.974923e+01	6.878974e-04	6.878974e-04	9.728338e-04	3.367054e+01	3.367054e+01	4.761734e+01	1.000409e+00
3.000000e-05	1.974858e+01	1.022718e-03	1.022718e-03	1.446342e-03	3.331382e+01	3.331382e+01	4.711286e+01	1.000614e+00
4.000000e-05	1.974793e+01	1.354464e-03	1.354464e-03	1.915502e-03	3.304594e+01	3.304594e+01	4.673402e+01	1.000807e+00
5.000000e-05	1.974728e+01	1.683807e-03	1.683807e-03	2.381263e-03	3.282917e+01	3.282917e+01	4.642746e+01	1.000937e+00
6.000000e-05	1.974663e+01	2.011156e-03	2.011156e-03	2.844204e-03	3.264501e+01	3.264501e+01	4.616702e+01	1.001026e+00
7.000000e-05	1.974598e+01	2.336782e-03	2.336782e-03	3.304709e-03	3.248337e+01	3.248337e+01	4.593842e+01	1.001091e+00
8.000000e-05	1.974533e+01	2.660879e-03	2.660879e-03	3.763051e-03	3.233823e+01	3.233823e+01	4.573316e+01	1.001140e+00
9.000000e-05	1.974467e+01	2.983589e-03	2.983589e-03	4.219432e-03	3.220574e+01	3.220574e+01	4.554579e+01	1.001179e+00
1.000000e-04	1.974402e+01	3.305027e-03	3.305027e-03	4.674014e-03	3.208326e+01	3.208326e+01	4.537258e+01	1.001211e+00
1.100000e-04	1.974337e+01	3.625282e-03	3.625282e-03	5.126922e-03	3.196892e+01	3.196892e+01	4.521087e+01	1.001238e+00
1.200000e-04	1.974272e+01	3.944428e-03	3.944428e-03	5.578263e-03	3.186132e+01	3.186132e+01	4.505871e+01	1.001260e+00
1.300000e-04	1.974207e+01	4.262527e-03	4.262527e-03	6.028124e-03	3.175942e+01	3.175942e+01	4.491460e+01	1.001280e+00
1.400000e-04	1.974142e+01	4.579632e-03	4.579632e-03	6.476578e-03	3.166239e+01	3.166239e+01	4.477739e+01	1.001296e+00
1.500000e-04	1.974077e+01	4.895789e-03	4.895789e-03	6.923691e-03	3.156960e+01	3.156960e+01	4.464616e+01	1.001311e+00
1.600000e-04	1.974012e+01	5.211037e-03	5.211037e-03	7.369519e-03	3.148051e+01	3.148051e+01	4.452016e+01	1.001324e+00
1.700000e-04	1.973947e+01	5.525410e-03	5.525410e-03	7.814110e-03	3.139470e+01	3.139470e+01	4.439881e+01	1.001336e+00
1.800000e-04	1.973882e+01	5.838940e-03	5.838940e-03	8.257509e-03	3.131180e+01	3.131180e+01	4.428158e+01	1.001346e+00
1.900000e-04	1.973817e+01	6.151655e-03	6.151655e-03	8.699754e-03	3.123153e+01	3.123153e+01	4.416806e+01	1.001355e+00
2.000000e-04	1.973752e+01	6.463579e-03	6.463579e-03	9.140881e-03	3.115363e+01	3.115363e+01	4.405789e+01	1.001364e+00
2.100000e-04	1.973687e+01	6.774735e-03	6.774735e-03	9.580922e-03	3.107789e+01	3.107789e+01	4.395077e+01	1.001372e+00
2.200000e-04	1.973622e+01	7.085143e-03	7.085143e-03	1.001991e-02	3.100411e+01	3.100411e+01	4.384643e+01	1.001379e+00
2.300000e-04	1.973557e+01	7.394823e-03	7.394823e-03	1.045786e-02	3.093214e+01	3.093214e+01	4.374465e+01	1.001385e+00
2.400000e-04	1.973492e+01	7.703792e-03	7.703792e-03	1.089481e-02	3.086183e+01	3.086183e+01	4.364523e+01	1.001391e+00
2.500000e-04	1.973427e+01	8.012065e-03	8.012065e-03	1.133077e-02	3.079307e+01	3.079307e+01	4.354798e+01	1.001397e+00
2.600000e-04	1.973362e+01	8.319658e-03	8.319658e-03	1.176577e-02	3.072574e+01	3.072574e+01	4.345276e+01	1.001402e+00
2.700000e-04	1.973297e+01	8.626584e-03	8.626584e-03	1.219983e-02	3.065975e+01	3.065975e+01	4.335943e+01	1.001407e+00
2.800000e-04	1.973232e+01	8.932857e-03	8.932857e-03	1.263297e-02	3.059500e+01	3.059500e+01	4.326787e+01	1.001412e+00
2.900000e-04	1.973167e+01	9.238488e-03	9.238488e-03	1.306520e-02	3.053143e+01	3.053143e+01	4.317796e+01	1.001416e+00
3.000000e-04	1.973102e+01	9.543489e-03	9.543489e-03	1.349653e-02	3.046895e+01	3.046895e+01	4.308961e+01	1.001420e+00
3.100000e-04	1.973037e+01	9.847871e-03	9.847871e-03	1.392699e-02	3.040752e+01	3.040752e+01	4.300272e+01	1.001424e+00
3.200000e-04	1.972972e+01	1.015164e-02	1.015164e-02	1.435659e-02	3.034706e+01	3.034706e+01	4.291722e+01	1.001428e+00
3.300000e-04	1.972907e+01	1.045482e-02	1.045482e-02	1.478534e-02	3.028753e+01	3.028753e+01	4.283303e+01	1.001431e+00
3.400000e-04	1.972842e+01	1.075740e-02	1.075740e-02	1.521326e-02	3.022888e+01	3.022888e+01	4.275009e+01	1.001434e+00
3.500000e-04	1.972777e+01	1.105940e-02	1.105940e-02	1.564035e-02	3.017106e+01	3.017106e+01	4.266833e+01	1.001437e+00
3.600000e-04	1.972712e+01	1.136082e-02	1.136082e-02	1.606663e-02	3.011404e+01	3.011404e+01	4.258769e+01	1.001440e+00
3.700000e-04	1.972647e+01	1.166168e-02	1.166168e-02	1.649210e-02	3.005779e+01	3.005779e+01	4.250813e+01	1.001443e+00
3.800000e-04	1.972582e+01	1.196198e-02	1.196198e-02	1.691679e-02	3.000225e+01	3.000225e+01	4.242959e+01	1.001446e+00
3.900000e-04	1.972518e+01	1.226173e-02	1.226173e-02	1.734070e-02	2.994741e+01	2.994741e+01	4.235203e+01	1.001448e+00
4.000000e-04	1.972453e+01	1.256093e-02	1.256093e-02	1.776384e-02	2.989323e+01	2.989323e+01	4.227542e+01	1.001451e+00
4.100000e-04	1.972388e+01	1.285959e-02	1.285959e-02	1.818621e-02	2.983970e+01	2.983970e+01	4.219970e+01	1.001453e+00
4.200000e-04	1.972323e+01	1.315773e-02	1.315773e-02	1.860783e-02	2.978677e+01	2.978677e+01	4.212485e+01	1.001455e+00
4.300000e-04	1.972258e+01	1.345533e-02	1.345533e-02	1.902871e-02	2.973443e+01	2.973443e+01	4.205084e+01	1.001458e+00
4.400000e-04	1.972193e+01	1.375242e-02	1.375242e-02	1.944885e-02	2.968266e+01	2.968266e+01	4.197762e+01	1.001460e+00
4.500000e-04	1.972128e+01	1.404899e-02	1.404899e-02	1.986827e-02	2.963144e+01	2.963144e+01	4.190518e+01	1.001462e+00
4.600000e-04	1.972063e+01	1.434505e-02	1.434505e-02	2.028696e-02	2.958074e+01	2.958074e+01	4.183348e+01	1.001463e+00
4.700000e-04	1.971998e+01	1.464060e-02	1.464060e-02	2.070494e-02	2.953055e+01	2.953055e+01	4.176250e+01	1.001465e+00
4.800000e-04	1.971933e+01	1.493566e-02	1.493566e-02	2.112221e-02	2.948085e+01	2.948085e+01	4.169222e+01	1.001467e+00
4.900000e-04	1.971868e+01	1.523022e-02	1.523022e-02	2.153878e-02	2.943163e+01	2.943163e+01	4.162261e+01	1.001469e+00
5.000000e-04	1.971803e+01	1.552429e-02	1.552429e-02	2.195467e-02	2.938287e+01	2.938287e+01	4.155366e+01	1.001470e+00
5.100000e-04	1.971738e+01	1.581788e-02	1.581788e-02	2.236986e-02	2.933456e+01	2.933456e+01	4.148533e+01	1.001472e+00
5.200000e-04	1.971674e+01	1.611099e-02	1.611099e-02	2.278437e-02	2.928668e+01	2.928668e+01	4.141762e+01	1.001474e+00
5.300000e-04	1.971609e+01	1.640361e-02	1.640361e-02	2.319821e-02	2.923922e+01	2.923922e+01	4.135050e+01	1.001475e+00
5.400000e-04	1.971544e+01	1.669577e-02	1.669577e-02	2.361139e-02	2.919217e+01	2.919217e+01	4.128396e+01	1.001477e+00
5.500000e-04	1.971479e+01	1.698746e-02	1.698746e-02	2.402390e-02	2.914551e+01	2.914551e+01	4.121798e+01	1.001478e+00
5.600000e-04	1.971414e+01	1.727868e-02	1.727868e-02	2.443575e-02	2.909925e+01	2.909925e+01	4.115255e+01	1.001479e+00
