R_VIR = 0.689973
FB = 0.156000
STELLAR_RATIO = 0.000000
DARK_MATTER_SCALE_RADIUS = 0.172493
STELLAR_SCALE_LENGTH = 0.002858
DARK_MATTER_TOTAL_MASS = 844.000000
STELLAR_TOTAL_MASS = 0.000000
DARK_MATTER_DENSITY_0 = 16167.089408
GAS_DENSITY = 17.992120
time	z	x	y	z	vx	vy	vz	mass
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	7.161000e+01	0.000000e+00	0.000000e+00	1.000000e+00
1.000000e-04	1.974402e+01	6.680133e-03	0.000000e+00	0.000000e+00	6.481652e+01	0.000000e+00	0.000000e+00	1.001245e+00
2.000000e-04	1.973752e+01	1.306131e-02	0.000000e+00	0.000000e+00	6.294298e+01	0.000000e+00	0.000000e+00	1.001410e+00
3.000000e-04	1.973102e+01	1.928456e-02	0.000000e+00	0.000000e+00	6.157162e+01	0.000000e+00	0.000000e+00	1.001472e+00
4.000000e-04	1.972453e+01	2.538284e-02	0.000000e+00	0.000000e+00	6.042105e+01	0.000000e+00	0.000000e+00	1.001505e+00
5.000000e-04	1.971803e+01	3.137312e-02	0.000000e+00	0.000000e+00	5.940228e+01	0.000000e+00	0.000000e+00	1.001527e+00
6.000000e-04	1.971155e+01	3.726632e-02	0.000000e+00	0.000000e+00	5.847467e+01	0.000000e+00	0.000000e+00	1.001542e+00
7.000000e-04	1.970506e+01	4.307034e-02	0.000000e+00	0.000000e+00	5.761583e+01	0.000000e+00	0.000000e+00	1.001554e+00
8.000000e-04	1.969858e+01	4.879131e-02	0.000000e+00	0.000000e+00	5.681183e+01	0.000000e+00	0.000000e+00	1.001563e+00
9.000000e-04	1.969210e+01	5.443422e-02	0.000000e+00	0.000000e+00	5.605325e+01	0.000000e+00	0.000000e+00	1.001571e+00
1.000000e-03	1.968563e+01	6.000325e-02	0.000000e+00	0.000000e+00	5.533335e+01	0.000000e+00	0.000000e+00	1.001577e+00
1.100000e-03	1.967916e+01	6.550201e-02	0.000000e+00	0.000000e+00	5.464707e+01	0.000000e+00	0.000000e+00	1.001583e+00
1.200000e-03	1.967269e+01	7.093365e-02	0.000000e+00	0.000000e+00	5.399047e+01	0.000000e+00	0.000000e+00	1.001587e+00
1.300000e-03	1.966623e+01	7.630098e-02	0.000000e+00	0.000000e+00	5.336038e+01	0.000000e+00	0.000000e+00	1.001592e+00
1.400000e-03	1.965977e+01	8.160652e-02	0.000000e+00	0.000000e+00	5.275422e+01	0.000000e+00	0.000000e+00	1.001595e+00
1.500000e-03	1.965331e+01	8.685255e-02	0.000000e+00	0.000000e+00	5.216983e+01	0.000000e+00	0.000000e+00	1.001599e+00
1.600000e-03	1.964686e+01	9.204115e-02	0.000000e+00	0.000000e+00	5.160537e+01	0.000000e+00	0.000000e+00	1.001602e+00
1.700000e-03	1.964041e+01	9.717424e-02	0.000000e+00	0.000000e+00	5.105929e+01	0.000000e+00	0.000000e+00	1.001605e+00
1.800000e-03	1.963397e+01	1.022536e-01	0.000000e+00	0.000000e+00	5.053020e+01	0.000000e+00	0.000000e+00	1.001607e+00
1.900000e-03	1.962753e+01	1.072808e-01	0.000000e+00	0.000000e+00	5.001691e+01	0.000000e+00	0.000000e+00	1.001610e+00
2.000000e-03	1.962109e+01	1.122575e-01	0.000000e+00	0.000000e+00	4.951836e+01	0.000000e+00	0.000000e+00	1.001612e+00
2.100000e-03	1.961466e+01	1.171849e-01	0.000000e+00	0.000000e+00	4.903359e+01	0.000000e+00	0.000000e+00	1.001614e+00
2.200000e-03	1.960823e+01	1.220646e-01	0.000000e+00	0.000000e+00	4.856178e+01	0.000000e+00	0.000000e+00	1.001616e+00
2.300000e-03	1.960180e+01	1.268977e-01	0.000000e+00	0.000000e+00	4.810214e+01	0.000000e+00	0.000000e+00	1.001618e+00
2.400000e-03	1.959538e+01	1.316854e-01	0.000000e+00	0.000000e+00	4.765399e+01	0.000000e+00	0.000000e+00	1.001620e+00
2.500000e-03	1.958896e+01	1.364289e-01	0.000000e+00	0.000000e+00	4.721670e+01	0.000000e+00	0.000000e+00	1.001622e+00
2.600000e-03	1.958255e+01	1.411291e-01	0.000000e+00	0.000000e+00	4.678970e+01	0.000000e+00	0.000000e+00	1.001623e+00
2.700000e-03	1.957613e+01	1.457871e-01	0.000000e+00	0.000000e+00	4.637245e+01	0.000000e+00	0.000000e+00	1.001625e+00
2.800000e-03	1.956973e+01	1.504039e-01	0.000000e+00	0.000000e+00	4.596447e+01	0.000000e+00	0.000000e+00	1.001627e+00
2.900000e-03	1.956332e+01	1.549803e-01	0.000000e+00	0.000000e+00	4.556531e+01	0.000000e+00	0.000000e+00	1.001628e+00
3.000000e-03	1.955692e+01	1.595172e-01	0.000000e+00	0.000000e+00	4.517456e+01	0.000000e+00	0.000000e+00	1.001629e+00
3.100000e-03	1.955052e+01	1.640155e-01	0.000000e+00	0.000000e+00	4.479184e+01	0.000000e+00	0.000000e+00	1.001631e+00
