fs	Tr(Gyr)	m(1e5M0)
0.010000	0.046156	1.084592
0.011837	0.042016	1.087215
0.013673	0.038196	1.072722
0.015510	0.034026	1.048940
0.017347	0.031356	1.055876
0.019184	0.028836	1.064092
0.021020	0.026476	1.072213
0.022857	0.024276	1.068102
0.024694	0.022256	1.057976
0.026531	0.020366	1.049702
0.028367	0.018086	1.032274
0.030204	0.016806	1.035148
0.032041	0.015596	1.038571
0.033878	0.014446	1.042269
0.035714	0.013356	1.046100
0.037551	0.012326	1.049823
0.039388	0.011376	1.053418
0.041224	0.010486	1.055135
0.043061	0.009666	1.049185
0.044898	0.008906	1.043789
0.046735	0.008206	1.039371
0.048571	0.007540	1.035374
0.050408	0.006920	1.032049
0.052245	0.005720	1.016508
0.054082	0.005340	1.017537
0.055918	0.004960	1.018364
0.057755	0.004620	1.019557
0.059592	0.004280	1.020516
0.061429	0.003960	1.021531
0.063265	0.003663	1.022642
0.065102	0.003383	1.023744
0.066939	0.003123	1.024881
0.068776	0.002873	1.025854
0.070612	0.002643	1.026843
0.072449	0.002433	1.027851
0.074286	0.002243	1.028877
0.076122	0.002063	1.029704
0.077959	0.001893	1.030329
0.079796	0.001743	1.030956
0.081633	0.001603	1.031340
0.083469	0.001483	1.030745
0.085306	0.001363	1.028272
0.087143	0.001263	1.026170
0.088980	0.001163	1.024074
0.090816	0.001073	1.022190
0.092653	0.000993	1.020519
0.094490	0.000910	1.018788
0.096327	0.000850	1.017538
0.098163	0.000770	1.015875
0.100000	0.000730	1.015044
